Assembly	dh5alpha_asm
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	4578923
Total length (>= 1000 bp)	4578923
Total length (>= 5000 bp)	4578923
Total length (>= 10000 bp)	4578923
Total length (>= 25000 bp)	4578923
Total length (>= 50000 bp)	4578923
# contigs	1
Largest contig	4578923
Total length	4578923
Reference length	4583637
GC (%)	50.77
Reference GC (%)	50.77
N50	4578923
NG50	4578923
N90	4578923
NG90	4578923
auN	4578923.0
auNG	4574213.8
L50	1
LG50	1
L90	1
LG90	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.867
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1.09
# indels per 100 kbp	35.25
Largest alignment	4578890
Total aligned length	4578890
NA50	4578890
NGA50	4578890
NA90	4578890
NGA90	4578890
auNA	4578857.0
auNGA	4574147.9
LA50	1
LGA50	1
LA90	1
LGA90	1
