All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     0_assembly
# contigs (>= 0 bp)          1         
# contigs (>= 1000 bp)       1         
# contigs (>= 5000 bp)       1         
# contigs (>= 10000 bp)      1         
# contigs (>= 25000 bp)      1         
# contigs (>= 50000 bp)      1         
Total length (>= 0 bp)       4635088   
Total length (>= 1000 bp)    4635088   
Total length (>= 5000 bp)    4635088   
Total length (>= 10000 bp)   4635088   
Total length (>= 25000 bp)   4635088   
Total length (>= 50000 bp)   4635088   
# contigs                    1         
Largest contig               4635088   
Total length                 4635088   
Reference length             4583637   
GC (%)                       50.79     
Reference GC (%)             50.77     
N50                          4635088   
NG50                         4635088   
N90                          4635088   
NG90                         4635088   
auN                          4635088.0 
auNG                         4687116.5 
L50                          1         
LG50                         1         
L90                          1         
LG90                         1         
# misassemblies              23        
# misassembled contigs       1         
Misassembled contigs length  4635088   
# local misassemblies        5         
# scaffold gap ext. mis.     0         
# scaffold gap loc. mis.     0         
# unaligned mis. contigs     0         
# unaligned contigs          0 + 1 part
Unaligned length             99206     
Genome fraction (%)          98.806    
Duplication ratio            1.001     
# N's per 100 kbp            0.00      
# mismatches per 100 kbp     13.69     
# indels per 100 kbp         72.66     
Largest alignment            2071597   
Total aligned length         4534830   
NA50                         514071    
NGA50                        514071    
NA90                         98642     
NGA90                        108712    
auNA                         1102380.9 
auNGA                        1114755.0 
LA50                         2         
LGA50                        2         
LA90                         9         
LGA90                        8         
