All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     0_assembly
# misassemblies              23        
  # contig misassemblies     23        
    # c. relocations         23        
    # c. translocations      0         
    # c. inversions          0         
  # scaffold misassemblies   0         
    # s. relocations         0         
    # s. translocations      0         
    # s. inversions          0         
# misassembled contigs       1         
Misassembled contigs length  4635088   
# local misassemblies        5         
# scaffold gap ext. mis.     0         
# scaffold gap loc. mis.     0         
# unaligned mis. contigs     0         
# mismatches                 621       
# indels                     3295      
    # indels (<= 5 bp)       3258      
    # indels (> 5 bp)        37        
Indels length                4391      
